dgp,T,N,s_est_mean,s_est_sd,mise_mean,mise_sd,s_0,additional_info
7,33,30,0.356,0.926812798750565,0.00860261513332015,0.0144469214304051,0.828,nsim = 500
7,33,60,0.088,0.405690978875155,0.00281942555019521,0.00550532900146643,0.948,rng = 123
7,33,120,0.01,0.118016336629396,0.000997450478369126,0.00155599066095896,0.992,n.grid = 50
7,33,300,0,0,0.000405418989422483,0.000542052601337727,1,ellapsed time = 11008.915
7,65,30,0.174,0.632870484459657,0.00444260352441253,0.00826309213245817,0.912,
7,65,60,0.018,0.194297460112097,0.00166627624558513,0.00292044340567476,0.99,
7,65,120,0,0,0.000786816832688192,0.00112584072678321,1,
7,65,300,0,0,0.000275284158531586,0.000379846627974235,1,
7,129,30,0.012,0.1546085625547,0.00239749150774204,0.00351305424092684,0.992,
7,129,60,0.012,0.1546085625547,0.00121874192717353,0.00193643413675408,0.994,
7,129,120,0,0,0.000577989909107655,0.000862302506121847,1,
7,129,300,0,0,0.000223086197298889,0.000312420846869973,1,
