T,N,s_est,mise1,mise2,hd1,hd2,additional_info
33,25,4.794,0.0479478891638337,0.0511152883299113,7.364,7.202,nsim = 500
33,50,4.132,0.0144335958467938,0.014660216266481,7.022,7.018,rng = 321
33,100,4.012,0.00597877554935243,0.00630533598011052,7,7,n.grid = 40
33,200,4,0.00314507567824912,0.00317110848290996,7,7,ellapsed time = 29783.2004
65,25,5.096,0.031066185189467,0.0288233272165365,13.742,13.624,
65,50,4.22,0.00780313452685362,0.00836704876836766,13.07,13.034,
65,100,4.006,0.00334708885231213,0.00336212338340326,13.002,13,
65,200,4,0.00164478877165717,0.00164368819385524,13,13,
129,25,5.624,0.0220191476326475,0.0209382596691851,27.568,27.344,
129,50,4.338,0.00521237904810303,0.00520615563203226,26.266,26.308,
129,100,4.008,0.00166620860221069,0.00176835019475973,26.002,26.01,
129,200,4,0.000818445116680387,0.000825512156495868,26,26,
