T,N,s_est,mse1,mse2,mdcj1,mdcj2,additional_info
33,25,3.55,0.0304721446881856,0.0494665141340988,1.05,1.95,nsim = 20
33,50,3.2,0.00899564433989991,0.0135699923700293,0.95,1.9,rng = 321
33,100,3,0.00386405529018064,0.00555264228738418,1,2,n.grid = 50
33,200,3,0.00266356575202004,0.00245709196942473,1,2,ellapsed time = 1412.3634
65,25,3.7,0.0207334076919071,0.023139551237202,1.25,2.05,
65,50,3.25,0.00661514297387489,0.00448891672143661,1,1.95,
65,100,3,0.00270163384551222,0.00345446990073943,1,2,
65,200,3,0.000733658998533007,0.00117132558717175,1,2,
129,25,4.35,0.0112909990610186,0.0147825502140468,0.9,2.45,
129,50,3.35,0.0050445194632441,0.00290222848359488,1.05,2,
129,100,3.05,0.00140263254345367,0.00168903478113468,1,2,
129,200,3,0.000677288450606461,0.000717386937004222,1,2,
