T,S,N,s_est,mise,mdcj,additional_info
33,1,25,5.404,0.0446891425684379,0.016,nsim = 500
33,1,50,2.636,0.0126009041848107,0,rng = 123
33,1,100,1.426,0.00330434898875934,0,n.grid = 50
33,1,200,1.078,0.00090871216928656,0,ellapsed time = 96118.0026
33,2,25,6.346,0.0474269303432536,0.018,
33,2,50,3.738,0.014344960841261,0,
33,2,100,2.52,0.0042595498326432,0,
33,2,200,2.118,0.00140315440048703,0,
33,3,25,7.302,0.0498942043073596,0.006,
33,3,50,4.788,0.0155855680457482,0.002,
33,3,100,3.474,0.00470980258122288,0,
33,3,200,3.102,0.00164187521578818,0,
65,1,25,3.922,0.0200388278679503,0.024,
65,1,50,1.588,0.00406053743729961,0.006,
65,1,100,1.082,0.000969065631298883,0,
65,1,200,1.01,0.000363066281176146,0,
65,2,25,5.162,0.0232264680596737,0.022,
65,2,50,2.726,0.00543900008766893,0,
65,2,100,2.128,0.00147530148037279,0,
65,2,200,2.014,0.000521388936565483,0,
65,3,25,5.904,0.023960446809558,0.024,
65,3,50,3.828,0.00629854871095577,0,
65,3,100,3.132,0.00176231286163307,0,
65,3,200,3.012,0.000748376075869496,0,
129,1,25,1.81,0.004777068703765,0.044,
129,1,50,1.13,0.0011308515859468,0.002,
129,1,100,1.012,0.000394194117033661,0,
129,1,200,1,0.000168699342232046,0,
129,2,25,3.016,0.00661510116112307,0.036,
129,2,50,2.116,0.00140591035630916,0,
129,2,100,2.022,0.000592911850818156,0,
129,2,200,2.002,0.000259626777349311,0,
129,3,25,4.026,0.00742386620005553,0.038,
129,3,50,3.12,0.00178549878431544,0.004,
129,3,100,3.01,0.000721124646029253,0,
129,3,200,3,0.000340529679289076,0,
